date,instrument,trendClose,trendEma20,trendEma50,trendRegime,dayRange,atr20,rangeAtrRatio,rangeRegime
2008-01-02,ES,1459.25,,,unknown,33.75,,,unknown
2008-01-03,ES,1458.25,,,unknown,13.75,,,unknown
2008-01-04,ES,1422.50,,,unknown,45.75,,,unknown
2008-01-07,ES,1421.75,,,unknown,22.25,,,unknown
2008-01-08,ES,1396.75,,,unknown,44.75,,,unknown
2008-01-09,ES,1414.50,,,unknown,31.50,,,unknown
2008-01-10,ES,1419.25,,,unknown,34.75,,,unknown
2008-01-11,ES,1408.50,,,unknown,23.50,,,unknown
2008-01-14,ES,1420.75,,,unknown,24.75,,,unknown
2008-01-15,ES,1373.75,,,unknown,49.00,,,unknown
2008-01-16,ES,1378.50,,,unknown,29.00,,,unknown
2008-01-17,ES,1342.50,,,unknown,55.25,,,unknown
2008-01-18,ES,1325.25,,,unknown,44.75,,,unknown
2008-01-21,ES,1265.50,,,unknown,75.25,,,unknown
2008-01-22,ES,1301.50,,,unknown,69.50,,,unknown
2008-01-23,ES,1343.25,,,unknown,90.00,,,unknown
2008-01-24,ES,1360.25,,,unknown,27.25,,,unknown
2008-01-25,ES,1333.75,,,unknown,42.50,,,unknown
2008-01-28,ES,1352.75,,,unknown,48.00,,,unknown
2008-01-29,ES,1361.25,1377.987500,,unknown,16.75,41.100000,0.407543,small_range
2008-01-30,ES,1346.25,1374.964881,,unknown,43.25,41.575000,1.040289,normal_range
2008-01-31,ES,1374.25,1374.896797,,unknown,55.75,43.675000,1.276474,large_range
2008-02-01,ES,1397.00,1377.001864,,unknown,26.50,42.712500,0.620427,small_range
2008-02-04,ES,1377.75,1377.073115,,unknown,23.00,42.750000,0.538012,small_range
2008-02-05,ES,1343.25,1373.851866,,unknown,43.75,42.700000,1.024590,normal_range
2008-02-06,ES,1325.75,1369.270736,,unknown,28.50,42.550000,0.669800,small_range
2008-02-07,ES,1339.50,1366.435428,,unknown,35.75,42.600000,0.839202,normal_range
2008-02-08,ES,1330.75,1363.036816,,unknown,22.75,42.562500,0.534508,small_range
2008-02-11,ES,1336.50,1360.509500,,unknown,22.25,42.437500,0.524300,small_range
2008-02-12,ES,1350.75,1359.580024,,unknown,30.75,41.525000,0.740518,small_range
2008-02-13,ES,1365.00,1360.096212,,unknown,27.00,41.425000,0.651780,small_range
2008-02-14,ES,1350.00,1359.134668,,unknown,24.25,39.875000,0.608150,small_range
2008-02-15,ES,1351.25,1358.383747,,unknown,20.25,38.650000,0.523933,small_range
2008-02-18,ES,1368.00,1359.299581,,unknown,22.00,35.987500,0.611323,small_range
2008-02-19,ES,1353.25,1358.723430,,unknown,24.50,33.737500,0.726195,small_range
2008-02-20,ES,1358.50,1358.702151,,unknown,32.00,30.837500,1.037698,normal_range
2008-02-21,ES,1345.00,1357.397184,,unknown,30.00,30.975000,0.968523,normal_range
2008-02-22,ES,1355.75,1357.240310,,unknown,30.50,30.375000,1.004115,normal_range
2008-02-25,ES,1371.50,1358.598375,,unknown,29.25,29.437500,0.993631,normal_range
2008-02-26,ES,1382.25,1360.850911,,unknown,24.75,29.837500,0.829493,normal_range
2008-02-27,ES,1381.00,1362.769872,,unknown,19.00,28.625000,0.663755,small_range
2008-02-28,ES,1364.00,1362.887027,,unknown,18.25,26.750000,0.682243,small_range
2008-02-29,ES,1335.25,1360.254929,,unknown,39.50,27.400000,1.441606,large_range
2008-03-03,ES,1333.75,1357.730650,,unknown,15.75,27.037500,0.582524,small_range
2008-03-04,ES,1330.50,1355.137255,,unknown,29.00,26.300000,1.102662,normal_range
2008-03-05,ES,1335.75,1353.290850,,unknown,24.75,26.112500,0.947822,normal_range
2008-03-06,ES,1309.50,1349.120293,,unknown,40.75,26.362500,1.545756,large_range
2008-03-07,ES,1292.75,1343.751693,,unknown,36.00,27.025000,1.332100,large_range
2008-03-10,ES,1274.00,1337.108675,,unknown,27.25,27.275000,0.999083,normal_range
2008-03-11,ES,1324.50,1335.907849,1359.260000,bear_trend,51.25,28.300000,1.810954,large_range
2008-03-12,ES,1310.00,1333.440435,1357.328235,bear_trend,26.25,28.262500,0.928793,normal_range
2008-03-13,ES,1312.25,1331.422298,1355.560461,bear_trend,40.50,29.075000,1.392949,large_range
2008-03-14,ES,1292.50,1327.715412,1353.087502,bear_trend,60.50,31.087500,1.946120,large_range
2008-03-17,ES,1279.25,1323.099659,1350.191914,bear_trend,61.00,33.037500,1.846387,large_range
2008-03-18,ES,1333.25,1324.066358,1349.527525,range,55.25,34.575000,1.597975,large_range
2008-03-19,ES,1298.75,1321.655276,1347.536250,bear_trend,47.00,35.325000,1.330502,large_range
2008-03-20,ES,1325.00,1321.973821,1346.652475,range,46.00,36.125000,1.273356,large_range
2008-03-24,ES,1351.00,1324.738219,1346.822966,range,36.25,36.425000,0.995196,normal_range
2008-03-25,ES,1350.75,1327.215532,1346.976968,range,17.50,35.837500,0.488315,small_range
2008-03-26,ES,1336.00,1328.052148,1346.546498,range,16.75,35.437500,0.472663,small_range
2008-03-27,ES,1331.75,1328.404324,1345.966243,range,21.50,35.562500,0.604569,small_range
2008-03-28,ES,1318.50,1327.461055,1344.889136,bear_trend,26.75,35.987500,0.743314,small_range
2008-03-31,ES,1322.75,1327.012383,1344.020934,bear_trend,21.00,35.062500,0.598930,small_range
2008-04-01,ES,1370.50,1331.154061,1345.059329,range,56.75,37.112500,1.529134,large_range
2008-04-02,ES,1367.75,1334.639389,1345.949159,range,17.00,36.512500,0.465594,small_range
2008-04-03,ES,1373.00,1338.292780,1347.009977,range,18.25,36.187500,0.504318,small_range
2008-04-04,ES,1372.00,1341.502992,1347.989978,range,23.75,35.337500,0.672091,small_range
2008-04-07,ES,1368.75,1344.097945,1348.804096,range,22.00,34.637500,0.635150,small_range
2008-04-08,ES,1370.50,1346.612426,1349.654916,range,10.00,33.775000,0.296077,small_range
2008-04-09,ES,1359.50,1347.839814,1350.040998,range,26.25,32.525000,0.807071,normal_range
2008-04-10,ES,1364.00,1349.378880,1350.588409,range,18.00,32.112500,0.560529,small_range
2008-04-11,ES,1335.50,1348.057081,1349.996707,bear_trend,37.25,31.950000,1.165884,normal_range
2008-04-14,ES,1331.50,1346.480217,1349.271346,bear_trend,11.50,29.500000,0.389831,small_range
2008-04-15,ES,1342.00,1346.053529,1348.986195,bear_trend,19.50,27.425000,0.711030,small_range
2008-04-16,ES,1370.50,1348.381765,1349.829874,range,35.00,26.412500,1.325130,large_range
2008-04-17,ES,1374.25,1350.845406,1350.787526,bull_trend,17.75,24.950000,0.711423,small_range
2008-04-18,ES,1387.25,1354.312510,1352.217427,bull_trend,28.25,24.062500,1.174026,normal_range
2008-04-21,ES,1386.50,1357.377985,1353.561841,bull_trend,13.25,22.900000,0.578603,small_range
2008-04-22,ES,1381.75,1359.699130,1354.667259,bull_trend,19.50,23.000000,0.847826,normal_range
2008-04-23,ES,1374.25,1361.084927,1355.435210,bull_trend,17.00,23.012500,0.738729,small_range
