date,instrument,trendClose,trendEma20,trendEma50,trendRegime,dayRange,atr20,rangeAtrRatio,rangeRegime
2008-01-02,NQ,2071.00,,,unknown,60.50,,,unknown
2008-01-03,NQ,2073.50,,,unknown,25.25,,,unknown
2008-01-04,NQ,1983.75,,,unknown,106.00,,,unknown
2008-01-07,NQ,1975.75,,,unknown,51.75,,,unknown
2008-01-08,NQ,1929.25,,,unknown,76.75,,,unknown
2008-01-09,NQ,1961.00,,,unknown,61.75,,,unknown
2008-01-10,NQ,1957.00,,,unknown,45.00,,,unknown
2008-01-11,NQ,1925.50,,,unknown,50.75,,,unknown
2008-01-14,NQ,1956.75,,,unknown,58.75,,,unknown
2008-01-15,NQ,1868.50,,,unknown,91.50,,,unknown
2008-01-16,NQ,1884.75,,,unknown,60.00,,,unknown
2008-01-17,NQ,1865.75,,,unknown,56.25,,,unknown
2008-01-18,NQ,1848.75,,,unknown,48.00,,,unknown
2008-01-21,NQ,1774.00,,,unknown,103.00,,,unknown
2008-01-22,NQ,1774.50,,,unknown,84.00,,,unknown
2008-01-23,NQ,1806.50,,,unknown,114.75,,,unknown
2008-01-24,NQ,1856.75,,,unknown,58.25,,,unknown
2008-01-25,NQ,1791.00,,,unknown,82.50,,,unknown
2008-01-28,NQ,1803.25,,,unknown,53.25,,,unknown
2008-01-29,NQ,1808.50,1895.787500,,unknown,27.50,168.600000,0.163108,small_range
2008-01-30,NQ,1802.00,1886.855357,,unknown,53.75,65.437500,0.821394,normal_range
2008-01-31,NQ,1832.50,1881.678656,,unknown,77.00,68.025000,1.131937,normal_range
2008-02-01,NQ,1865.25,1880.114023,,unknown,48.00,65.125000,0.737044,small_range
2008-02-04,NQ,1825.00,1874.865068,,unknown,45.25,64.800000,0.698302,small_range
2008-02-05,NQ,1788.75,1866.663633,,unknown,52.00,63.562500,0.818092,normal_range
2008-02-06,NQ,1729.25,1853.576620,,unknown,73.75,64.162500,1.149425,normal_range
2008-02-07,NQ,1765.00,1845.140752,,unknown,72.25,65.525000,1.102633,normal_range
2008-02-08,NQ,1777.25,1838.674966,,unknown,34.25,64.700000,0.529366,small_range
2008-02-11,NQ,1793.75,1834.396398,,unknown,38.75,63.700000,0.608320,small_range
