event_date,event_time_et,event_time_utc,currency,title,impact,event_type,all_day,default_visible,actual,forecast,previous
2007-01-01,,,USD,Bank Holiday,Low,holiday,true,true,,,
2007-01-03,2007-01-03T03:00:00-05:00,2007-01-03T08:00:00Z,USD,Total Vehicle Sales,Low,economic,false,false,16.7M,16.5M,16.1M
2007-01-03,2007-01-03T08:15:00-05:00,2007-01-03T13:15:00Z,USD,ADP Non-Farm Employment Change,High,economic,false,true,-40K,120K,230K
2007-01-03,2007-01-03T10:00:00-05:00,2007-01-03T15:00:00Z,USD,Construction Spending m/m,Low,economic,false,false,-0.2%,-0.6%,-1.0%
2007-01-03,2007-01-03T10:00:00-05:00,2007-01-03T15:00:00Z,USD,ISM Manufacturing PMI,High,economic,false,true,51.4,51,49.5
2007-01-03,2007-01-03T10:00:00-05:00,2007-01-03T15:00:00Z,USD,ISM Manufacturing Prices,Medium,economic,false,true,47.5,54,53.5
2007-01-03,2007-01-03T14:00:00-05:00,2007-01-03T19:00:00Z,USD,FOMC Meeting Minutes,High,economic,false,true,,,
2007-01-04,2007-01-04T07:30:00-05:00,2007-01-04T12:30:00Z,USD,Challenger Job Cuts y/y,Low,economic,false,false,-49.3%,,-22.7%
2007-01-04,2007-01-04T08:30:00-05:00,2007-01-04T13:30:00Z,USD,Unemployment Claims,Medium,economic,false,true,329K,318K,317K
2007-01-04,2007-01-04T10:00:00-05:00,2007-01-04T15:00:00Z,USD,Factory Orders m/m,Medium,economic,false,true,0.9%,1.5%,-4.5%
2007-01-04,2007-01-04T10:00:00-05:00,2007-01-04T15:00:00Z,USD,ISM Services PMI,High,economic,false,true,57.1,58,58.9
2007-01-04,2007-01-04T10:00:00-05:00,2007-01-04T15:00:00Z,USD,Pending Home Sales m/m,High,economic,false,true,-0.5%,0.0%,-1.5%
2007-01-04,2007-01-04T10:30:00-05:00,2007-01-04T15:30:00Z,USD,Crude Oil Inventories,Medium,economic,false,true,-1.3M,-2.0M,-8.1M
2007-01-05,2007-01-05T08:30:00-05:00,2007-01-05T13:30:00Z,USD,Average Hourly Earnings m/m,Medium,economic,false,true,0.5%,0.3%,0.3%
2007-01-05,2007-01-05T08:30:00-05:00,2007-01-05T13:30:00Z,USD,Non-Farm Employment Change,High,economic,false,true,167K,115K,132K
2007-01-05,2007-01-05T08:30:00-05:00,2007-01-05T13:30:00Z,USD,Unemployment Rate,High,economic,false,true,4.5%,4.5%,4.5%
2007-01-05,2007-01-05T10:30:00-05:00,2007-01-05T15:30:00Z,USD,Natural Gas Storage,Low,economic,false,false,-47B,-60B,-46B
2007-01-05,2007-01-05T13:45:00-05:00,2007-01-05T18:45:00Z,USD,Fed Chairman Bernanke Speaks,High,economic,false,true,,,
2007-01-08,2007-01-08T12:45:00-05:00,2007-01-08T17:45:00Z,USD,FOMC Member Kohn Speaks,Medium,economic,false,true,,,
2007-01-08,2007-01-08T15:00:00-05:00,2007-01-08T20:00:00Z,USD,Consumer Credit m/m,Low,economic,false,false,12.3B,5.4B,-1.3B
2007-01-09,2007-01-09T07:30:00-05:00,2007-01-09T12:30:00Z,USD,NFIB Small Business Index,Low,economic,false,false,96.5,,99.7
2007-01-09,2007-01-09T10:00:00-05:00,2007-01-09T15:00:00Z,USD,RCM/TIPP Economic Optimism,Low,economic,false,false,53.7,53.7,53.5
2007-01-10,2007-01-10T08:30:00-05:00,2007-01-10T13:30:00Z,USD,Trade Balance,Medium,economic,false,true,-58.2B,-60.0B,-58.9B
2007-01-10,2007-01-10T10:00:00-05:00,2007-01-10T15:00:00Z,USD,Final Wholesale Inventories m/m,Low,economic,false,false,1.3%,0.4%,0.4%
2007-01-10,2007-01-10T10:00:00-05:00,2007-01-10T15:00:00Z,USD,JOLTS Job Openings,High,economic,false,true,4.24M,,4.25M
2007-01-10,2007-01-10T10:30:00-05:00,2007-01-10T15:30:00Z,USD,Crude Oil Inventories,Medium,economic,false,true,-5.0M,-1.5M,-1.3M
2007-01-11,2007-01-11T08:00:00-05:00,2007-01-11T13:00:00Z,USD,FOMC Member Geithner Speaks,Medium,economic,false,true,,,
2007-01-11,2007-01-11T08:30:00-05:00,2007-01-11T13:30:00Z,USD,Unemployment Claims,Medium,economic,false,true,299K,320K,329K
2007-01-11,2007-01-11T10:30:00-05:00,2007-01-11T15:30:00Z,USD,Natural Gas Storage,Low,economic,false,false,-49B,-45B,-47B
2007-01-12,2007-01-12T08:30:00-05:00,2007-01-12T13:30:00Z,USD,Core Retail Sales m/m,High,economic,false,true,1.0%,0.5%,1.1%
2007-01-12,2007-01-12T08:30:00-05:00,2007-01-12T13:30:00Z,USD,Import Prices m/m,Medium,economic,false,true,1.1%,0.5%,0.2%
2007-01-12,2007-01-12T08:30:00-05:00,2007-01-12T13:30:00Z,USD,Retail Sales m/m,High,economic,false,true,0.9%,0.6%,1.0%
2007-01-12,2007-01-12T10:00:00-05:00,2007-01-12T15:00:00Z,USD,Business Inventories m/m,Medium,economic,false,true,0.4%,0.4%,0.2%
2007-01-12,2007-01-12T14:00:00-05:00,2007-01-12T19:00:00Z,USD,Federal Budget Balance,Medium,economic,false,true,44.5B,25.6B,-75.6B
2007-01-15,,,USD,Bank Holiday,Low,holiday,true,true,,,
2007-01-16,2007-01-16T08:30:00-05:00,2007-01-16T13:30:00Z,USD,Empire State Manufacturing Index,Medium,economic,false,true,9.1,18,23.1
2007-01-17,2007-01-17T08:30:00-05:00,2007-01-17T13:30:00Z,USD,Core PPI m/m,High,economic,false,true,0.2%,0.1%,1.3%
2007-01-17,2007-01-17T08:30:00-05:00,2007-01-17T13:30:00Z,USD,PPI m/m,High,economic,false,true,0.9%,0.6%,2.0%
2007-01-17,2007-01-17T09:00:00-05:00,2007-01-17T14:00:00Z,USD,TIC Long-Term Purchases,High,economic,false,true,68.4B,82.5B,89.3B
